Gene,Predicted Label,Probability
CUL4B,[1],[0.7406067]
KPNA2,[1],[0.74046373]
AKT2,[1],[0.74012613]
GNB5,[1],[0.73996145]
EML4,[1],[0.7399087]
WASL,[1],[0.7398514]
AP1G1,[1],[0.73967564]
CREB1,[1],[0.73917955]
GRIK3,[1],[0.73904884]
BMPR2,[1],[0.7387757]
FADD,[1],[0.7383123]
BCL6,[1],[0.73805964]
BDNF,[1],[0.7379258]
AURKB,[1],[0.73750937]
ADCY9,[1],[0.7371306]
RB1CC1,[1],[0.7370796]
PPP2CB,[1],[0.7370437]
EPC1,[1],[0.7366694]
REEP1,[1],[0.73642343]
AP2B1,[1],[0.7361734]
ZWINT,[1],[0.7361114]
ST6GALNAC3,[1],[0.73567027]
SDC4,[1],[0.73484516]
TCHH,[1],[0.7342487]
KMT2E,[1],[0.73402923]
CD14,[1],[0.7339152]
KLB,[1],[0.7338771]
BRD8,[1],[0.73380065]
PPP2R5D,[1],[0.73365676]
HMGA1,[1],[0.73359376]
IL7R,[1],[0.7335223]
ACTR2,[1],[0.73323506]
SNAP91,[1],[0.73308086]
PIKFYVE,[1],[0.7327632]
AMOTL1,[1],[0.7326275]
PPARA,[1],[0.73257273]
SHH,[1],[0.7324926]
TIAM1,[1],[0.732363]
VIM,[1],[0.7322706]
NFATC2,[1],[0.7322327]
CAT,[1],[0.7321791]
DNAJC6,[1],[0.7319816]
PPIA,[1],[0.7318982]
TEK,[1],[0.7317727]
KPNB1,[1],[0.7317415]
FANCD2,[1],[0.7316712]
IRF7,[1],[0.73149973]
PTPRZ1,[1],[0.73142356]
SCD,[1],[0.731227]
